Store,Product,Pump,Filter,Batch_Rule
601,1000,1,1,200-10
601,1000,2,1,200-10
601,1002,1,2,20-3
601,1002,2,2,20-3
601,1004,1,3,20-3
601,1004,2,3,20-3
601,1000,3,4,200-10
601,1000,4,4,200-10
601,1002,3,5,20-3
601,1002,4,5,20-3
601,1004,3,6,20-3
601,1004,4,6,20-3
601,1000,5,7,200-10
601,1000,6,7,200-10
601,1002,5,8,20-3
601,1002,6,8,20-3
601,1004,5,9,20-3
601,1004,6,9,20-3
601,1000,7,10,200-10
601,1000,8,10,200-10
601,1002,7,11,20-3
601,1002,8,11,20-3
601,1004,7,12,20-3
601,1004,8,12,20-3
601,1000,9,13,200-10
601,1000,10,13,200-10
601,1002,9,14,20-3
601,1002,10,14,20-3
601,1004,9,15,20-3
601,1004,10,15,20-3
601,1000,11,16,200-10
601,1000,12,16,200-10
601,1002,11,17,20-3
601,1002,12,17,20-3
601,1004,11,18,20-3
601,1004,12,18,20-3
601,1003,13,19,20-3
601,1003,14,19,20-3
601,1003,15,20,20-3
601,1003,16,20,20-3
602,1000,1,1,200-10
602,1000,2,1,200-10
602,1000,3,2,200-10
602,1000,4,2,200-10
602,1000,5,3,200-10
602,1000,6,3,200-10
602,1000,7,4,200-10
602,1000,8,4,200-10
602,1000,9,5,200-10
602,1000,10,5,200-10
602,1002,1,6,20-3
602,1002,2,6,20-3
602,1002,3,7,20-3
602,1002,4,7,20-3
602,1002,7,8,20-3
602,1002,8,8,20-3
602,1003,5,9,20-3
602,1003,6,9,20-3
602,1003,9,10,20-3
602,1003,10,10,20-3
401,1000,1,1,200-10
401,1000,2,1,200-10
401,1000,3,2,200-10
401,1000,4,2,200-10
401,1000,5,3,200-10
401,1000,6,3,200-10
401,1000,7,4,200-10
401,1000,8,4,200-10
401,1000,9,5,200-10
401,1000,10,5,200-10
401,1000,11,6,200-10
401,1000,13,7,200-10
401,1000,14,7,200-10
401,1000,15,8,200-10
401,1000,16,8,200-10
401,1000,17,9,200-10
401,1000,18,9,200-10
401,1000,19,10,200-10
401,1000,20,10,200-10
401,1002,1,11,20-3
401,1002,2,11,20-3
401,1002,3,12,20-3
401,1002,4,12,20-3
401,1002,5,13,20-3
401,1002,6,13,20-3
401,1002,7,14,20-3
401,1002,8,14,20-3
401,1002,9,15,20-3
401,1002,10,15,20-3
401,1002,11,16,20-3
401,1002,13,17,20-3
401,1002,14,17,20-3
401,1002,15,18,20-3
401,1002,16,18,20-3
401,1002,17,19,20-3
401,1002,18,19,20-3
401,1002,19,20,20-3
401,1002,20,20,20-3
401,1003,9,21,20-3
401,1003,10,21,20-3
401,1003,11,22,20-3
401,1003,12,22,20-3
402,1000,1,1,200-10
402,1000,2,1,200-10
402,1000,3,2,200-10
402,1000,4,2,200-10
402,1000,5,3,200-10
402,1000,6,3,200-10
402,1000,7,4,200-10
402,1000,8,4,200-10
402,1000,9,5,200-10
402,1000,10,5,200-10
402,1002,1,6,20-3
402,1002,2,6,20-3
402,1002,3,7,20-3
402,1002,4,7,20-3
402,1002,5,8,20-3
402,1002,6,8,20-3
402,1002,7,9,20-3
402,1002,8,9,20-3
402,1002,9,10,20-3
402,1002,10,10,20-3
402,1003,1,11,20-3
402,1003,2,11,20-3
402,1003,3,12,20-3
402,1003,4,12,20-3
406,1003,1,1,20-3
406,1003,2,1,20-3
406,1003,3,2,20-3
406,1003,4,2,20-3
406,1000,5,3,200-10
406,1000,6,3,200-10
406,1000,7,4,200-10
406,1000,8,4,200-10
406,1000,9,5,200-10
406,1000,10,5,200-10
406,1000,11,6,200-10
406,1000,12,6,200-10
406,1000,13,7,200-10
406,1000,14,7,200-10
406,1000,15,8,200-10
406,1000,16,8,200-10
406,1000,17,9,200-10
406,1000,18,9,200-10
406,1002,5,10,20-3
406,1002,6,10,20-3
406,1002,7,11,20-3
406,1002,8,11,20-3
406,1002,9,12,20-3
406,1002,10,12,20-3
406,1002,11,13,20-3
406,1002,12,13,20-3
406,1002,13,14,20-3
406,1002,14,14,20-3
406,1002,15,15,20-3
406,1002,16,15,20-3
406,1002,17,16,20-3
406,1002,18,16,20-3
407,1000,1,1,200-10
407,1000,2,1,200-10
407,1000,3,2,200-10
407,1000,4,2,200-10
407,1000,5,3,200-10
407,1000,6,3,200-10
407,1000,7,4,200-10
407,1000,8,4,200-10
407,1000,9,5,200-10
407,1000,10,5,200-10
407,1002,1,6,20-3
407,1002,2,6,20-3
407,1002,3,7,20-3
407,1002,4,7,20-3
407,1002,5,8,20-3
407,1002,6,8,20-3
407,1002,7,9,20-3
407,1002,8,9,20-3
407,1002,9,10,20-3
407,1002,10,10,20-3
407,1003,1,11,20-3
407,1003,2,11,20-3
301,1000,1,1,200-10
301,1000,2,1,200-10
301,1000,3,2,200-10
301,1000,4,2,200-10
301,1000,5,3,200-10
301,1000,6,3,200-10
301,1000,7,4,200-10
301,1000,8,4,200-10
301,1000,9,5,200-10
301,1000,10,5,200-10
301,1002,1,6,20-3
301,1002,2,6,20-3
301,1002,3,7,20-3
301,1002,4,7,20-3
301,1002,5,8,20-3
301,1002,6,8,20-3
301,1002,7,9,20-3
301,1002,8,9,20-3
301,1002,9,10,20-3
301,1002,10,10,20-3
301,1003,1,11,20-3
301,1003,2,11,20-3
301,1003,7,12,20-3
301,1003,8,12,20-3
603,1000,3,1,200-10
603,1000,4,1,200-10
603,1000,5,2,200-10
603,1000,6,2,200-10
603,1000,7,3,200-10
603,1000,8,3,200-10
603,1000,9,4,200-10
603,1000,10,4,200-10
603,1002,3,5,20-3
603,1002,4,5,20-3
603,1002,5,6,20-3
603,1002,6,6,20-3
603,1002,7,7,20-3
603,1002,8,7,20-3
603,1002,9,8,20-3
603,1002,10,8,20-3
603,1003,1,9,20-3
603,1003,2,9,20-3
701,1000,1,1,200-10
701,1000,2,1,200-10
701,1000,3,2,200-10
701,1000,4,2,200-10
701,1000,5,3,200-10
701,1000,6,3,200-10
701,1000,7,4,200-10
701,1000,8,4,200-10
701,1000,9,5,200-10
701,1000,10,5,200-10
701,1000,11,6,200-10
701,1000,12,6,200-10
701,1002,1,7,20-3
701,1002,2,7,20-3
701,1002,3,8,20-3
701,1002,4,8,20-3
701,1002,5,9,20-3
701,1002,6,9,20-3
701,1002,7,10,20-3
701,1002,8,10,20-3
701,1002,9,11,20-3
701,1002,10,11,20-3
701,1002,11,12,20-3
701,1002,12,12,20-3
701,1003,11,13,20-3
701,1003,12,13,20-3
702,1000,1,1,200-10
702,1000,2,1,200-10
702,1000,3,2,200-10
702,1000,4,2,200-10
702,1000,5,3,200-10
702,1000,6,3,200-10
702,1000,7,4,200-10
702,1002,1,5,20-3
702,1002,2,5,20-3
702,1002,3,6,20-3
702,1002,4,6,20-3
702,1002,5,7,20-3
702,1002,6,7,20-3
702,1002,7,8,20-3
702,1003,7,9,20-3
702,1003,8,9,20-3
703,1000,1,1,200-10
703,1000,2,1,200-10
703,1000,3,2,200-10
703,1000,4,2,200-10
703,1000,5,3,200-10
703,1000,6,3,200-10
703,1000,7,4,200-10
703,1000,8,4,200-10
703,1002,1,5,20-3
703,1002,2,5,20-3
703,1002,3,6,20-3
703,1002,4,6,20-3
703,1002,5,7,20-3
703,1002,6,7,20-3
703,1002,7,8,20-3
703,1002,8,8,20-3
703,1003,1,9,20-3
703,1003,2,9,20-3
704,1000,1,1,200-10
704,1000,2,1,200-10
704,1000,3,2,200-10
704,1000,4,2,200-10
704,1000,5,3,200-10
704,1000,6,3,200-10
704,1000,7,4,200-10
704,1000,8,4,200-10
704,1000,9,5,200-10
704,1000,10,5,200-10
704,1002,1,6,20-3
704,1002,2,6,20-3
704,1002,3,7,20-3
704,1002,4,7,20-3
704,1002,5,8,20-3
704,1002,6,8,20-3
704,1002,7,9,20-3
704,1002,8,9,20-3
704,1002,9,10,20-3
704,1002,10,10,20-3
704,1003,1,11,20-3
704,1003,2,11,20-3
705,1000,1,1,200-10
705,1000,2,1,200-10
705,1000,3,2,200-10
705,1000,4,2,200-10
705,1000,5,3,200-10
705,1000,6,3,200-10
705,1000,7,4,200-10
705,1000,8,4,200-10
705,1000,9,5,200-10
705,1000,10,5,200-10
705,1000,11,6,200-10
705,1000,12,6,200-10
705,1002,1,7,20-3
705,1002,2,7,20-3
705,1002,3,8,20-3
705,1002,4,8,20-3
705,1002,5,9,20-3
705,1002,6,9,20-3
705,1002,7,10,20-3
705,1002,8,10,20-3
705,1002,9,11,20-3
705,1002,10,11,20-3
705,1002,11,12,20-3
705,1002,12,12,20-3
705,1003,9,13,20-3
705,1003,10,13,20-3
705,1003,11,14,20-3
705,1003,12,14,20-3
901,1000,1,1,200-10
901,1000,2,1,200-10
901,1000,3,2,200-10
901,1000,4,2,200-10
901,1000,5,3,200-10
901,1000,6,3,200-10
901,1000,7,4,200-10
901,1000,8,4,200-10
901,1000,9,5,200-10
901,1000,10,5,200-10
901,1002,1,6,20-3
901,1002,2,6,20-3
901,1002,3,7,20-3
901,1002,4,7,20-3
901,1002,5,8,20-3
901,1002,6,8,20-3
901,1002,7,9,20-3
901,1002,8,9,20-3
901,1002,9,10,20-3
901,1002,10,10,20-3
901,1003,1,11,20-3
901,1003,2,11,20-3
901,1003,3,12,20-3
901,1003,4,12,20-3
902,1000,1,1,200-10
902,1000,2,1,200-10
902,1000,3,2,200-10
902,1000,4,2,200-10
902,1000,5,3,200-10
902,1000,6,3,200-10
902,1000,7,4,200-10
902,1000,8,4,200-10
902,1000,9,5,200-10
902,1000,10,5,200-10
902,1002,1,6,20-3
902,1002,2,6,20-3
902,1002,3,7,20-3
902,1002,4,7,20-3
902,1002,5,8,20-3
902,1002,6,8,20-3
902,1002,7,9,20-3
902,1002,8,9,20-3
902,1002,9,10,20-3
902,1002,10,10,20-3
902,1003,1,11,20-3
902,1003,2,11,20-3
902,1003,3,12,20-3
902,1003,4,12,20-3
903,1000,1,1,200-10
903,1000,2,1,200-10
903,1000,3,2,200-10
903,1000,4,2,200-10
903,1000,5,3,200-10
903,1000,6,3,200-10
903,1000,7,4,200-10
903,1000,8,4,200-10
903,1000,9,5,200-10
903,1000,10,5,200-10
903,1000,11,6,200-10
903,1000,12,6,200-10
903,1000,13,7,200-10
903,1000,14,7,200-10
903,1002,1,8,20-3
903,1002,2,8,20-3
903,1002,3,9,20-3
903,1002,4,9,20-3
903,1002,5,10,20-3
903,1002,6,10,20-3
903,1002,7,11,20-3
903,1002,8,11,20-3
903,1002,9,12,20-3
903,1002,10,12,20-3
903,1002,11,13,20-3
903,1002,12,13,20-3
903,1002,13,14,20-3
903,1002,14,14,20-3
903,1003,1,15,20-3
903,1003,2,15,20-3
903,1003,3,16,20-3
903,1003,4,16,20-3
